bank_name,review_text,rating,sentiment_score,review_date,thumbs_up,text_length,word_count,source,app_version,sentiment_label,month
Commercial Bank of Ethiopia,slow loading time is making the app unusable.,1,-0.536,2025-09-06,0,45,8,Google Play Store,4.7.2,negative,2025-09
Commercial Bank of Ethiopia,Please fix the update issues problem!,1,-0.291,2025-01-23,1,37,6,Google Play Store,1.9.91,negative,2025-01
Awash Bank,Awash Bank has the best useful features feature.,5,0.4,2025-07-25,3,48,8,Google Play Store,1.1.8,positive,2025-07
Commercial Bank of Ethiopia,Highly recommended for convenient.,5,0.643,2025-10-29,3,34,4,Google Play Store,2.5.3,positive,2025-10
Commercial Bank of Ethiopia,Disappointed with update issues issues.,2,-0.514,2025-02-10,2,39,5,Google Play Store,4.9.88,negative,2025-02
Commercial Bank of Ethiopia,The app works perfectly for fast money transfer.,5,0.609,2024-12-24,2,48,8,Google Play Store,3.0.7,positive,2024-12
Dashen Bank,Disappointed with complex navigation issues.,1,-0.924,2025-01-09,1,44,5,Google Play Store,3.6.61,negative,2025-01
Commercial Bank of Ethiopia,app crashes frequently is making the app unusable.,2,-0.615,2025-07-25,2,50,8,Google Play Store,3.8.78,negative,2025-07
Bank of Abyssinia,The app works perfectly for secure transactions.,4,0.481,2025-08-29,3,48,7,Google Play Store,1.3.12,positive,2025-08
Commercial Bank of Ethiopia,The app works perfectly for good customer support.,5,0.361,2025-02-22,6,50,8,Google Play Store,1.0.26,positive,2025-02
Bank of Abyssinia,poor connectivity is making the app unusable.,1,-0.375,2025-06-21,1,45,7,Google Play Store,4.5.31,negative,2025-06
Bank of Abyssinia,Disappointed with poor connectivity issues.,2,-0.872,2025-08-12,0,43,5,Google Play Store,4.0.58,negative,2025-08
Bank of Abyssinia,The app works perfectly for user-friendly interface.,4,0.413,2025-07-26,4,52,7,Google Play Store,4.0.37,positive,2025-07
Commercial Bank of Ethiopia,The app works perfectly for fast money transfer.,5,0.803,2025-01-11,3,48,8,Google Play Store,2.2.18,positive,2025-01
Commercial Bank of Ethiopia,The app works perfectly for easy to use.,5,1.0,2025-07-05,3,40,8,Google Play Store,4.8.59,positive,2025-07
Commercial Bank of Ethiopia,The app keeps having problems with login problems.,1,-0.272,2025-07-09,4,50,8,Google Play Store,3.0.71,negative,2025-07
Dashen Bank,complex navigation is making the app unusable.,1,-0.435,2024-12-30,1,46,7,Google Play Store,1.8.99,negative,2024-12
Dashen Bank,Excellent experience with good security.,5,0.708,2025-10-31,3,40,5,Google Play Store,2.5.50,positive,2025-10
Dashen Bank,The app works perfectly for good security.,5,0.944,2025-01-20,3,42,7,Google Play Store,4.4.5,positive,2025-01
Commercial Bank of Ethiopia,Excellent experience with good customer support.,5,1.0,2025-08-09,3,48,6,Google Play Store,4.1.24,positive,2025-08
Commercial Bank of Ethiopia,"Frustrated with slow loading time, needs immediate attention.",1,-0.312,2025-03-05,1,61,8,Google Play Store,2.6.92,negative,2025-03
Commercial Bank of Ethiopia,I love how easy it is to do convenient.,5,0.407,2025-10-28,6,39,9,Google Play Store,2.6.62,positive,2025-10
Commercial Bank of Ethiopia,I love how easy it is to do easy to use.,4,0.643,2025-06-06,0,40,11,Google Play Store,3.5.59,positive,2025-06
Commercial Bank of Ethiopia,Please fix the update issues problem!,2,-0.922,2024-12-18,1,37,6,Google Play Store,4.1.29,negative,2024-12
Commercial Bank of Ethiopia,Highly recommended for easy to use.,5,0.602,2025-01-19,3,35,6,Google Play Store,1.1.95,positive,2025-01
Bank of Abyssinia,Please fix the poor connectivity problem!,1,-0.459,2025-09-25,1,41,6,Google Play Store,4.9.15,negative,2025-09
